wind_code,canonical_series_id,expected_name,expected_unit,target_unit,divisor,note
M0001381,CN_M0_YOY,中国:M0:同比,%,pct_yoy,1.0,batch2
M0009941,CN_RMB_DEPOSIT_BAL_YOY,中国:金融机构各项存款余额:人民币:同比,%,pct_yoy,1.0,batch2
M0009970,CN_RMB_LOAN_BAL_YOY,中国:金融机构各项贷款余额:人民币:同比,%,pct_yoy,1.0,batch2
M0048261,CN_NEW_RMB_DEPOSITS_YTD,中国:金融机构:新增人民币存款:累计值,亿元,tn_cny_ytd,10000.0,batch2
M0048255,CN_NEW_RMB_LOANS_YTD,中国:金融机构:新增人民币贷款:累计值,亿元,tn_cny_ytd,10000.0,batch2
M5201630,CN_TSF_FLOW_YTD,中国:社会融资规模:累计值,亿元,tn_cny_ytd,10000.0,batch2
M5525755,CN_TSF_STOCK,中国:社会融资规模存量,万亿元,tn_cny,1.0,batch2
M0017126,CN_PMI_MANUFACTURING,中国:制造业PMI,%,index,1.0,batch3
M0017127,CN_PMI_PRODUCTION,中国:制造业PMI:生产,%,index,1.0,batch3
M0017128,CN_PMI_NEW_ORDERS,中国:制造业PMI:新订单,%,index,1.0,batch3
M0017135,CN_PMI_RAW_MATERIAL_INVENTORY,中国:制造业PMI:原材料库存,%,index,1.0,batch3
M0017136,CN_PMI_EMPLOYMENT,中国:制造业PMI:从业人员,%,index,1.0,batch3
M0017137,CN_PMI_SUPPLIER_DELIVERY,中国:制造业PMI:供货商配送时间,%,index,1.0,batch3
M0048236,CN_PMI_NONMANUFACTURING,中国:非制造业PMI:商务活动,%,index,1.0,batch4
M0000612,CN_CPI_YOY,中国:CPI:当月同比,%,pct_yoy,1.0,batch5
M0001227,CN_PPI_YOY,中国:PPI:当月同比,%,pct_yoy,1.0,batch5
M0000545,CN_INDUSTRIAL_VALUE_ADDED_YOY,中国:工业增加值:规模以上工业企业:当月同比(1-2月拆分),%,pct_yoy,1.0,batch6(仅2005-2011官方月度段)
M0001428,CN_RETAIL_SALES_YOY,中国:社会消费品零售总额:当月同比(1-2月合并),%,pct_yoy,1.0,batch6
F3478527,CN_INDUSTRIAL_VALUE_ADDED_YOY,中国:工业增加值:规模以上工业企业:当月同比(1-2月合并),%,pct_yoy,1.0,batch6(2012起合并口径)
M0000273,CN_FAI_YTD_YOY,中国:固定资产投资完成额:累计同比,%,pct_yoy,1.0,batch7
S0029657,CN_REAL_ESTATE_INVESTMENT_YTD_YOY,中国:房地产开发投资完成额:累计同比,%,pct_yoy,1.0,batch7
M0000357,CN_MANUFACTURING_INVESTMENT_YTD_YOY,中国:固定资产投资完成额:制造业:累计同比,%,pct_yoy,1.0,batch7
M5531328,CN_INFRA_INVESTMENT_YTD_YOY,中国:固定资产投资完成额:基础设施建设(不含电力):累计同比,%,pct_yoy,1.0,batch7
S0073300,CN_NEW_HOME_SALES_AREA_YTD_YOY,中国:商品房销售面积:累计同比,%,pct_yoy,1.0,batch8
S0049591,CN_NEW_HOME_SALES_VALUE_YTD_YOY,中国:商品房销售额:累计同比,%,pct_yoy,1.0,batch8
M0039354,CN_GDP_YOY,中国:GDP:不变价:当季同比,%,pct_yoy,1.0,batch9(季频,终值,修订敏感)
